HALF ORBIT,CRID,TYPE,DATA STREAM,DESCRIPTION,DATES AFFECTED
4844D,R13080,Bad,Radiometer,no scan for Radiometer L1B_TB,28-Dec-15
4693D,R13080,Bad,Radiometer,no L1A_Radiometer product due to missing S-band,18-Dec-15
4672A-4683A,,Missing,Radar,"L0A_Radar notæreceived_FSW reset - December 15-17, 2015",17-Dec-15
4672A-4683A,,Missing,Radiometer,"L0A_Radiometer not received _ FSW reset - December 15-17, 2015",17-Dec-15
4657A-4671D,,Missing,Radar,"L0A_Radar notæreceived_FSW reset - December 15-17, 2015",16-Dec-15
4657A-4671D,,Missing,Radiometer,"L0A_Radiometer not received _ FSW reset - December 15-17, 2015",16-Dec-15
4645A,R13080,Bad,Radiometer,no L1A_Radiometer  product due to missing S-band,15-Dec-15
4645D-4656D,,Missing,Radar,"L0A_Radar notæreceived_FSW reset - December 15-17, 2015",15-Dec-15
4645D-4656D,,Missing,Radiometer,"L0A_Radiometer not received _ FSW reset - December 15-17, 2015",15-Dec-15
4615D,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",13-Dec-15
4618A,,Missing,Radar,L0A_Radar not received,13-Dec-15
4574D,,Missing,Radar,L0A_Radar not received,10-Dec-15
4575D,,Missing,Radiometer,L0A_Radiometer not received,10-Dec-15
4519D,R14010,Bad,Enhanced Radiometer,L2_SM_P_E processing failure,6-Dec-15
4433A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",30-Nov-15
4417D,,Missing,Radiometer,L0A_Radiometer not received,29-Nov-15
4418A,,Missing,Radar,L0A_Radar not received,29-Nov-15
4390A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",27-Nov-15
4373D,,Missing,Radiometer,L0A_Radiometer not received,26-Nov-15
4374A,,Missing,Radiometer,L0A_Radiometer not received,26-Nov-15
4359D,,Missing,Radiometer,L0A_Radiometer not received,25-Nov-15
4360A,R13080,Bad,Radiometer,"no L1B_TB product, failed SPS processing",25-Nov-15
3985A,,Missing,Radar,L0A_Radar not received,31-Oct-15
3971A,,Missing,Radar,L0A_Radar not received,30-Oct-15
3951D,R13080,Bad,Radiometer,ratty L0A_Radiometer telemetry (time correlation clock jump),28-Oct-15
3644D,R14010,Bad,Enhanced Radiometer,L2_SM_P_E processing failure,7-Oct-15
3424A,R14010,Bad,Enhanced Radiometer,"L1B_TB_E, L1C_TB_E, L2_SM_P_E processing failure",22-Sep-15
